city,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
Punta Arenas,0,CL,1551224594,53,-53.16,-70.91,51.8,17.22
Vaini,0,IN,1551224927,75,15.34,74.49,54.56,1.3
Kapaa,1,US,1551224598,53,22.08,-159.32,78.8,19.46
Busselton,36,AU,1551224706,51,-33.64,115.35,71.01,16.96
Road Town,40,VG,1551224912,88,18.42,-64.62,73.99,12.75
Kaspiyskiy,88,RU,1551224932,89,45.39,47.37,34.4,5.77
Castro,0,CL,1551224543,74,-42.48,-73.76,57.53,7.83
Iroquois,90,US,1551224883,68,40.83,-87.58,33.01,13.87
Champerico,5,MX,1551221160,45,16.38,-93.6,86.0,24.16
Pochutla,75,MX,1551224742,58,15.74,-96.47,86.0,2.01
The Valley,40,AI,1551224919,73,18.22,-63.06,77.0,11.41
Lebu,0,ET,1551224939,55,8.96,38.73,39.71,2.98
Pangnirtung,20,CA,1551222000,63,66.15,-65.72,-9.41,2.75
Mataura,48,NZ,1551224407,80,-46.19,168.86,55.0,8.01
Pisco,75,PE,1551222000,30,-13.71,-76.2,71.6,20.8
Rikitea,88,PF,1551224946,99,-23.12,-134.97,80.48,10.36
Roebourne,0,AU,1551224947,78,-20.77,117.15,81.74,4.81
Znamenskoye,36,RU,1551224948,68,57.13,73.82,-1.43,4.7
Ushuaia,40,AR,1551222000,70,-54.81,-68.31,44.6,31.09
Port Elizabeth,90,US,1551224738,38,39.31,-74.98,41.0,5.82
Marabba,0,SD,1551224952,50,12.35,32.18,72.56,4.03
Albany,40,US,1551224909,44,42.65,-73.75,19.4,20.8
Sao Filipe,0,CV,1551224680,85,14.9,-24.5,73.46,14.83
Haines Junction,0,CA,1551224956,87,60.75,-137.51,17.48,0.56
Avera,40,US,1551224704,63,33.19,-82.53,66.2,4.7
Esperance,20,TT,1551224707,78,10.24,-61.45,79.0,9.17
Kibala,0,TD,1551222000,28,9.11,18.35,82.4,3.09
Atuona,12,PF,1551224961,100,-9.8,-139.03,80.84,7.0
Tiksi,0,RU,1551224964,46,71.64,128.87,-16.28,3.76
Tasiilaq,92,GL,1551221400,92,65.61,-37.64,30.2,3.36
Alghero,0,IT,1551223200,100,40.56,8.32,37.4,1.12
Kaeo,0,NZ,1551224284,53,-35.1,173.78,73.0,5.99
